30-35 Hrs,Lego Batman 3 (LEGO Series),COM,,,,,,,,,,,,,20-25 Hrs,The Legend of Zelda: Spirit Tracks (The Legend of Zelda Series),WIU,,,,,,,,,,Stop,,,
15-20 Hrs,Lego Ningago Movie Game (LEGO Series),COM,,,,,,,,,,,,,50-60 Hrs,The Legend of Zelda: Breath of the Wild (The Legend of Zelda Series),WIU,,,,,,,,,,Stop,,,
35-40 Hrs or 85-90 Hrs,Lego Star Wars: The Skywalker Saga,COM,,,,,,,,,,,,,,,,,,,,,,,,,Stop,,,
15-20 Hrs,Spider-Man: Miles Morales (Spider-Man Series),COM,,,,,,,,,,,,,,,,,,,,,,,,,Stop,,,
10-15 Hrs,Maneater,COM,,,,,,,,,,,,,,,,,,,,,,,,,Stop,,,
45-50 Hrs,Monster Hunter World,COM,,,,,,,,,,,,,,,,,,,,,,,,,Stop,,,
25-30 Hrs,Nine Sols,COM,,,,,,,,,,,,,,,,,,,,,,,,,Stop,,,
???,Terraria 1.5 Legendary Mode,COM,,,,,,,,,,,,,,,,,,,,,,,,,Stop,,,
20-25 Hrs,The Outer Worlds,COM,,,,,,,,,,,,,,,,,,,,,,,,,Stop,,,
20-25 Hrs,Ace Attorney (Ace Attorney Series),COM,,,,,,,,,,,,,,,,,,,,,,,,,Stop,,,
10-15 Hrs,Pizza Tower,COM,,,,,,,,,,,,,,,,,,,,,,,,,Stop,,,
25-35 Hrs,Planet Crafter ,COM,,,,,,,,,,,,,,,,,,,,,,,,,Stop,,,
10-15 Hrs,Postal 2,COM,,,,,,,,,,,,,,,,,,,,,,,,,Stop,,,
20-30 Hrs,Raidou: Remastered,COM,,,,,,,,,,,,,,,,,,,,,,,,,Stop,,,
Unknown,Risk of Rain 2 (Achievements),COM,,,,,,,,,,,,,,,,,,,,,,,,,Stop,,,
Unknown,Risk of Rain Returns (Achievements),COM,,,,,,,,,,,,,,,,,,,,,,,,,Stop,,,
10-15 Hrs,Slime Rancher 2 (Slime Rancher Series),COM,,,,,,,,,,,,,,,,,,,,,,,,,Stop,,,
20-25 Hrs,Sonic Frontiers (Sonic Series),COM,,,,,,,,,,,,,,,,,,,,,,,,,Stop,,,
10-15 Hrs,Sonic Mania (Sonic Series),COM,,,,,,,,,,,,,,,,,,,,,,,,,Stop,,,
20-30 Hrs,Star Wars JEDI: Fallen Order (Star Wars JEDI Series),COM,,,,,,,,,,,,,,,,,,,,,,,,,Stop,,,
25-30 Hrs,Subnautica: Below Zero (Subnautica Series),COM,,,,,,,,,,,,,,,,,,,,,,,,,Stop,,,
10-15 Hrs,Ultrakill,COM,,,,,,,,,,,,,,,,,,,,,,,,,Stop,,,
